prime,TARGET,relation1_f-t,relation2_f-t,FAS_f-t,BAS_f-t,f_CUEfanout,TARGETfanin,rank,LSA_f-t,BEAGLE_RPs,BEAGLE_PMI,BEAGLE cosine,BEAGLE WIKI NIN,BEAGLE WIKI Cosine,LSA
emergency,ambulance,script,NA,0.13,0.174,23,4,1,0.76,0.107827528,10.0518562,0.302863456,388,0.621478358,0.828201491
usa,america,synonym,NA,0.223,0.185,11,22,1,0.2,0.021193941,0.639904509,0.096158798,5663,0.442272554,0.370798433
flag,american,bpa,NA,0.269,0.2,12,20,1,0.3,0.104346327,0.150573833,0.428927649,3,0.201241743,0.172718118
quantity,amount,synonym,NA,0.379,6.70E-02,11,32,1,0.36,0.763090363,0.582694903,0.474508311,11,0.712565911,0.548132149
entertain,amuse,synonym,NA,0.275,0.15,20,2,1,0.52,0.140000731,2.028477114,0.327248423,15,NA,0.735828047
saint,angel,unclassified,NA,0.091,4.10E-02,24,13,1,0.28,0.049949762,0.319713156,0.090823717,11551,0.315765986,0.298337084
fury,anger,synonym,NA,0.306,0,12,55,1,0.34,0.105863679,0.814021521,0.196166443,615,0.482461312,0.703406934
mad,angry,synonym,NA,0.393,0.52,11,30,1,0.34,0.307355958,0.363046539,0.45373989,33,0.562316971,0.734911861
beast,animal,unclassifed,NA,0.4,1.10E-02,15,156,1,0.35,0.226737038,0.678236648,0.270277083,415,0.387691208,0.315987039
sprain,ankle,fpa,NA,0.601,4.90E-02,8,7,1,0.62,0.041451741,180.2550609,0.235250466,15,NA,0.829631832
frustrate,annoy,category,NA,0.149,0,15,22,1,0.08,0.340389631,1.40402761,0.047677234,7170,0.264364783,0.440013072
irritating,annoying,synonym,NA,0.257,8.60E-02,16,16,1,0.16,0.110941449,3.328130356,0.014585346,NA,0.477494228,0.802474335
yearly,annually,synonym,NA,0.485,NA,11,2,1,0.38,0,0.517811906,0.274805117,87,0.778846309,0.743052933
explanation,answer,synonym,NA,0.15,0,21,55,1,0.21,0.117426293,0.272836817,0.195259621,2960,0.256551407,0.531948947
anteater,ant,functional property,NA,0.29,1.70E-02,9,11,1,0.14,0.049482882,22.08570613,0.0662304,8899,0.384574303,0.467693333
stress,anxiety,synonym,NA,0.079,7.70E-02,23,12,1,0.57,0.270074695,4.434581215,0.449395205,30,0.558904713,0.803041394
together,apart,antonym,NA,0.259,0.406,19,19,1,0.57,0.101487552,0.178651434,NA,NA,NA,0.442727707
rent,apartment,script,NA,0.155,4.20E-02,15,19,1,0.34,0.06194168,2.880945749,0.289133518,307,0.50222639,0.558460355
monkey,ape,category,NA,0.174,0.459,22,12,1,0.39,0.204829299,10.61328199,0.164163123,2190,0.518742405,0.791965583
sorry,apology,synonym,NA,0.212,0.578,17,2,1,0.29,0.004286449,3.190912282,0.112335268,2557,0.292177627,0.435156762
seem,appear,synonym,NA,0.244,8.30E-02,15,5,1,0.58,0.461947134,0.123551476,NA,NA,NA,0.598711002
pie,apple,bpa,NA,0.228,7.40E-02,21,48,1,0.47,0.076931217,5.805487624,0.293283795,26,0.356511592,0.556742141
march,april,category,NA,0.223,NA,15,3,1,0.76,0.354637134,1.486813656,0.612423016,1,0.948107728,0.702083173
