prime,target,p.POSr,t.POSr,first,second,match,index,JCNvalue,JCNmaki
synopsis,summary,n,n,"'synopsis#n#1',","'summary#n#1',",TRUE,synopsis.summary,2.35,1.218098
spring,summer,n,n,"'spring#n#1',","'summer#n#1',",TRUE,spring.summer,2.58,3.071432
rays,sun,n,n,"'rays#n#1',","'sun#n#1',",TRUE,rays.sun,NA,NA
easter,sunday,n,n,"'easter#n#1',","'sunday#n#1',",TRUE,easter.sunday,6.48,7.19264
sunrise,sunset,n,n,"'sunrise#n#1',","'sunset#n#1',",TRUE,sunrise.sunset,4.3,5.785731
hero,superman,n,n,"'hero#n#1',","'superman#n#1',",TRUE,hero.superman,9.74,13.739472
dinner,supper,n,n,"'dinner#n#1',","'supper#n#1',",TRUE,dinner.supper,3.12,3.868188
operation,surgery,n,n,"'operation#n#1',","'surgery#n#1',",TRUE,operation.surgery,0,0
microscope,small,n,other,"'microscope#n#1',","'small#other#1',",FALSE,microscope.small,NA,18.787457
wit,smart,n,other,"'wit#n#1',","'smart#other#1',",FALSE,wit.smart,NA,16.044411
marsh,swamp,n,n,"'marsh#n#1',","'swamp#n#1',",TRUE,marsh.swamp,2.51,2.037797
exercise,sweat,n,n,"'exercise#n#1',","'sweat#n#1',",TRUE,exercise.sweat,15.03,0.754722
hammock,swing,n,n,"'hammock#n#1',","'swing#n#1',",TRUE,hammock.swing,21.92,16.420361
saber,sword,n,n,"'saber#n#1',","'sword#n#1',",TRUE,saber.sword,0,2.898878
apathy,sympathy,n,n,"'apathy#n#1',","'sympathy#n#1',",TRUE,apathy.sympathy,19.57,9.958076
chair,table,n,n,"'chair#n#1',","'table#n#1',",TRUE,chair.table,15.71,4.274217
label,tag,n,n,"'label#n#1',","'tag#n#1',",TRUE,label.tag,19.49,0
wag,tail,n,n,"'wag#n#1',","'tail#n#1',",TRUE,wag.tail,20.51,15.344955
temper,tantrum,n,n,"'temper#n#1',","'tantrum#n#1',",TRUE,temper.tantrum,5.89,3.483823
scotch,tape,n,n,"'scotch#n#1',","'tape#n#1',",TRUE,scotch.tape,0,15.620607
smell,taste,n,n,"'smell#n#1',","'taste#n#1',",TRUE,smell.taste,3.54,3.902926
excise,tax,n,n,"'excise#n#1',","'tax#n#1',",TRUE,excise.tax,3.31,3.182433
cab,taxi,n,n,"'cab#n#1',","'taxi#n#1',",TRUE,cab.taxi,15.55,0
coffee,tea,n,n,"'coffee#n#1',","'tea#n#1',",TRUE,coffee.tea,4.92,6.821282
student,teacher,n,n,"'student#n#1',","'teacher#n#1',",TRUE,student.teacher,11.05,11.666706
coach,team,n,n,"'coach#n#1',","'team#n#1',",TRUE,coach.team,15.45,13.105301
rip,tear,n,n,"'rip#n#1',","'tear#n#1',",TRUE,rip.tear,21.74,0
cry,tears,n,n,"'cry#n#1',","'tears#n#1',",TRUE,cry.tears,17.05,18.735714
gums,teeth,n,n,"'gums#n#1',","'teeth#n#1',",TRUE,gums.teeth,NA,NA
booth,telephone,n,n,"'booth#n#1',","'telephone#n#1',",TRUE,booth.telephone,13.21,13.523748
entertainment,television,n,n,"'entertainment#n#1',","'television#n#1',",TRUE,entertainment.television,15.8,16.971302
shrine,temple,n,n,"'shrine#n#1',","'temple#n#1',",TRUE,shrine.temple,6.87,5.891745
detail,specific,n,other,"'detail#n#1',","'specific#other#1',",FALSE,detail.specific,NA,3.605527
racket,tennis,n,n,"'racket#n#1',","'tennis#n#1',",TRUE,racket.tennis,17.92,17.485574
camping,tent,n,n,"'camping#n#1',","'tent#n#1',",TRUE,camping.tent,17.6,20.284387
quiz,test,n,n,"'quiz#n#1',","'test#n#1',",TRUE,quiz.test,16.06,0
relativity,theory,n,n,"'relativity#n#1',","'theory#n#1',",TRUE,relativity.theory,0,3.60489
crook,thief,n,n,"'crook#n#1',","'thief#n#1',",TRUE,crook.thief,1.08,1.056473
item,thing,n,n,"'item#n#1',","'thing#n#1',",TRUE,item.thing,14.14,10.605691
needle,thread,n,n,"'needle#n#1',","'thread#n#1',",TRUE,needle.thread,18.71,14.515052
lightning,thunder,n,n,"'lightning#n#1',","'thunder#n#1',",TRUE,lightning.thunder,9.85,13.269287
wednesday,thursday,n,n,"'wednesday#n#1',","'thursday#n#1',",TRUE,wednesday.thursday,4.35,NA
admission,ticket,n,n,"'admission#n#1',","'ticket#n#1',",TRUE,admission.ticket,18.79,15.042797
lion,tiger,n,n,"'lion#n#1',","'tiger#n#1',",TRUE,lion.tiger,19.19,3.399638
floor,tile,n,n,"'floor#n#1',","'tile#n#1',",TRUE,floor.tile,14.83,14.69227
date,time,n,n,"'date#n#1',","'time#n#1',",TRUE,date.time,13.11,4.280712
kleenex,tissue,n,n,"'kleenex#n#1',","'tissue#n#1',",TRUE,kleenex.tissue,16.88,3.465736
cinnamon,toast,n,n,"'cinnamon#n#1',","'toast#n#1',",TRUE,cinnamon.toast,0,20.538942
stub,toe,n,n,"'stub#n#1',","'toe#n#1',",TRUE,stub.toe,19.74,15.603545
feet,toes,n,n,"'feet#n#1',","'toes#n#1',",TRUE,feet.toes,NA,NA
lettuce,tomato,n,n,"'lettuce#n#1',","'tomato#n#1',",TRUE,lettuce.tomato,21.74,8.997742
gin,tonic,n,n,"'gin#n#1',","'tonic#n#1',",TRUE,gin.tonic,0,8.296827
pliers,tool,n,n,"'pliers#n#1',","'tool#n#1',",TRUE,pliers.tool,0,6.559614
toothpaste,toothbrush,n,n,"'toothpaste#n#1',","'toothbrush#n#1',",TRUE,toothpaste.toothbrush,21.2,25.329281
tube,toothpaste,n,n,"'tube#n#1',","'toothpaste#n#1',",TRUE,tube.toothpaste,17.83,20.453662
cyclone,tornado,n,n,"'cyclone#n#1',","'tornado#n#1',",TRUE,cyclone.tornado,0,0.757686
washcloth,towel,n,n,"'washcloth#n#1',","'towel#n#1',",TRUE,washcloth.towel,0,19.996001
village,town,n,n,"'village#n#1',","'town#n#1',",TRUE,village.town,15.74,7.685982
plaything,toy,n,n,"'plaything#n#1',","'toy#n#1',",TRUE,plaything.toy,0,0
swap,trade,n,n,"'swap#n#1',","'trade#n#1',",TRUE,swap.trade,8.67,0
tractor,trailer,n,n,"'tractor#n#1',","'trailer#n#1',",TRUE,tractor.trailer,18.31,9.366014
station,train,n,n,"'station#n#1',","'train#n#1',",TRUE,station.train,11.34,6.484159
characteristic,trait,n,n,"'characteristic#n#1',","'trait#n#1',",TRUE,characteristic.trait,11.09,6.610652
garbage,trash,n,n,"'garbage#n#1',","'trash#n#1',",TRUE,garbage.trash,4.73,5.260777
park,tree,n,n,"'park#n#1',","'tree#n#1',",TRUE,park.tree,13.54,12.495939
landscape,trees,n,n,"'landscape#n#1',","'trees#n#1',",TRUE,landscape.trees,NA,NA
magic,trick,n,n,"'magic#n#1',","'trick#n#1',",TRUE,magic.trick,17.67,0
journey,trip,n,n,"'journey#n#1',","'trip#n#1',",TRUE,journey.trip,1.01,0.377238
award,trophy,n,n,"'award#n#1',","'trophy#n#1',",TRUE,award.trophy,0,6.748686
mischief,trouble,n,n,"'mischief#n#1',","'trouble#n#1',",TRUE,mischief.trouble,14.23,12.137101
curve,straight,n,other,"'curve#n#1',","'straight#other#1',",FALSE,curve.straight,NA,3.506373
monday,tuesday,n,n,"'monday#n#1',","'tuesday#n#1',",TRUE,monday.tuesday,3.58,4.121723
gymnastics,tumble,n,n,"'gymnastics#n#1',","'tumble#n#1',",TRUE,gymnastics.tumble,13.81,18.576311
tortoise,turtle,n,n,"'tortoise#n#1',","'turtle#n#1',",TRUE,tortoise.turtle,0,1.512587
aunt,uncle,n,n,"'aunt#n#1',","'uncle#n#1',",TRUE,aunt.uncle,10.26,9.929303
downstairs,upstairs,n,n,"'downstairs#n#1',","'upstairs#n#1',",TRUE,downstairs.upstairs,NA,NA
coward,wimp,n,n,"'coward#n#1',","'wimp#n#1',",TRUE,coward.wimp,0,16.716817
trip,vacation,n,n,"'trip#n#1',","'vacation#n#1',",TRUE,trip.vacation,14.75,10.346076
discipline,strict,n,other,"'discipline#n#1',","'strict#other#1',",FALSE,discipline.strict,NA,NA
morals,values,n,n,"'morals#n#1',","'values#n#1',",TRUE,morals.values,13.79,12.189325
pole,vault,n,n,"'pole#n#1',","'vault#n#1',",TRUE,pole.vault,15.45,14.175349
radish,vegetable,n,n,"'radish#n#1',","'vegetable#n#1',",TRUE,radish.vegetable,1.63,3.947841
tomato,vegetables,n,n,"'tomato#n#1',","'vegetables#n#1',",TRUE,tomato.vegetables,NA,NA
artery,vein,n,n,"'artery#n#1',","'vein#n#1',",TRUE,artery.vein,1.92,1.467054
noun,verb,n,n,"'noun#n#1',","'verb#n#1',",TRUE,noun.verb,20.03,2.650439
scenery,view,n,n,"'scenery#n#1',","'view#n#1',",TRUE,scenery.view,17.8,8.98287
grape,vine,n,n,"'grape#n#1',","'vine#n#1',",TRUE,grape.vine,17.61,2.279239
viola,violin,n,n,"'viola#n#1',","'violin#n#1',",TRUE,viola.violin,16.36,2.910988
patience,virtue,n,n,"'patience#n#1',","'virtue#n#1',",TRUE,patience.virtue,14.75,12.41912
blur,vision,n,n,"'blur#n#1',","'vision#n#1',",TRUE,blur.vision,13.65,15.577295
lava,volcano,n,n,"'lava#n#1',","'volcano#n#1',",TRUE,lava.volcano,0,23.72029
paddy,wagon,n,n,"'paddy#n#1',","'wagon#n#1',",TRUE,paddy.wagon,0,18.903949
server,waiter,n,n,"'server#n#1',","'waiter#n#1',",TRUE,server.waiter,0,0
plaster,wall,n,n,"'plaster#n#1',","'wall#n#1',",TRUE,plaster.wall,12.52,15.390772
tank,war,n,n,"'tank#n#1',","'war#n#1',",TRUE,tank.war,16.82,18.661591
dishes,wash,n,n,"'dishes#n#1',","'wash#n#1',",TRUE,dishes.wash,NA,NA
machine,washer,n,n,"'machine#n#1',","'washer#n#1',",TRUE,machine.washer,0,12.39526
george,washington,n,n,"'george#n#1',","'washington#n#1',",TRUE,george.washington,0,NA
honey,sweet,n,other,"'honey#n#1',","'sweet#other#1',",FALSE,honey.sweet,NA,11.662216
bay,water,n,n,"'bay#n#1',","'water#n#1',",TRUE,bay.water,15.24,4.331404
manner,way,n,n,"'manner#n#1',","'way#n#1',",TRUE,manner.way,0,0
climate,weather,n,n,"'climate#n#1',","'weather#n#1',",TRUE,climate.weather,16.97,17.317517
spider,web,n,n,"'spider#n#1',","'web#n#1',",TRUE,spider.web,21.19,19.188333
honeymoon,wedding,n,n,"'honeymoon#n#1',","'wedding#n#1',",TRUE,honeymoon.wedding,19.89,21.794089
tuesday,wednesday,n,n,"'tuesday#n#1',","'wednesday#n#1',",TRUE,tuesday.wednesday,4.43,4.241062
friday,weekend,n,n,"'friday#n#1',","'weekend#n#1',",TRUE,friday.weekend,10.55,13.921566
sun,tan,n,other,"'sun#n#1',","'tan#other#1',",FALSE,sun.tan,NA,14.648366
scale,weight,n,n,"'scale#n#1',","'weight#n#1',",TRUE,scale.weight,15.91,12.610977
east,west,n,n,"'east#n#1',","'west#n#1',",TRUE,east.west,18.8,3.113907
mammal,whale,n,n,"'mammal#n#1',","'whale#n#1',",TRUE,mammal.whale,13.03,4.612461
grain,wheat,n,n,"'grain#n#1',","'wheat#n#1',",TRUE,grain.wheat,21.2,2.388105
handicap,wheelchair,n,n,"'handicap#n#1',","'wheelchair#n#1',",TRUE,handicap.wheelchair,21.05,NA
husband,wife,n,n,"'husband#n#1',","'wife#n#1',",TRUE,husband.wife,1.64,2.350381
breeze,wind,n,n,"'breeze#n#1',","'wind#n#1',",TRUE,breeze.wind,1.59,0.901029
glass,window,n,n,"'glass#n#1',","'window#n#1',",TRUE,glass.window,14.56,10.615486
contest,winner,n,n,"'contest#n#1',","'winner#n#1',",TRUE,contest.winner,18.23,15.909633
summer,winter,n,n,"'summer#n#1',","'winter#n#1',",TRUE,summer.winter,2.73,3.527623
electrician,wire,n,n,"'electrician#n#1',","'wire#n#1',",TRUE,electrician.wire,0,20.537255
coyote,wolf,n,n,"'coyote#n#1',","'wolf#n#1',",TRUE,coyote.wolf,0.69,1.435085
man,woman,n,n,"'man#n#1',","'woman#n#1',",TRUE,man.woman,2.09,5.354867
men,women,n,n,"'men#n#1',","'women#n#1',",TRUE,men.women,NA,NA
panel,wood,n,n,"'panel#n#1',","'wood#n#1',",TRUE,panel.wood,16.67,10.366669
sheep,wool,n,n,"'sheep#n#1',","'wool#n#1',",TRUE,sheep.wool,16.77,19.549196
thesaurus,words,n,n,"'thesaurus#n#1',","'words#n#1',",TRUE,thesaurus.words,0,22.454754
school,work,n,n,"'school#n#1',","'work#n#1',",TRUE,school.work,9.62,2.03441
factory,worker,n,n,"'factory#n#1',","'worker#n#1',",TRUE,factory.worker,10.37,12.280939
gym,workout,n,n,"'gym#n#1',","'workout#n#1',",TRUE,gym.workout,17.97,21.146567
globe,world,n,n,"'globe#n#1',","'world#n#1',",TRUE,globe.world,5.4,0
maggot,worm,n,n,"'maggot#n#1',","'worm#n#1',",TRUE,maggot.worm,11.56,14.548629
poet,writer,n,n,"'poet#n#1',","'writer#n#1',",TRUE,poet.writer,1.74,1.831928
junk,yard,n,n,"'junk#n#1',","'yard#n#1',",TRUE,junk.yard,15.36,14.700262
century,year,n,n,"'century#n#1',","'year#n#1',",TRUE,century.year,5.24,8.697316
crater,zit,n,n,"'crater#n#1',","'zit#n#1',",TRUE,crater.zit,0,NA
twilight,zone,n,n,"'twilight#n#1',","'zone#n#1',",TRUE,twilight.zone,20.13,18.32173
keeper,zoo,n,n,"'keeper#n#1',","'zoo#n#1',",TRUE,keeper.zoo,20.1,19.742557
consequence,action,n,n,"'consequence#n#1',","'action#n#1',",TRUE,consequence.action,10.34,3.679041
comedian,actor,n,n,"'comedian#n#1',","'actor#n#1',",TRUE,comedian.actor,4.25,2.982084
bullock,actress,n,n,"'bullock#n#1',","'actress#n#1',",TRUE,bullock.actress,0,14.780437
extension,addition,n,n,"'extension#n#1',","'addition#n#1',",TRUE,extension.addition,18.48,0.784581
pronoun,adjective,n,n,"'pronoun#n#1',","'adjective#n#1',",TRUE,pronoun.adjective,8.31,10.069784
teenager,adolescent,n,n,"'teenager#n#1',","'adolescent#n#1',",TRUE,teenager.adolescent,0,0
conquest,adventure,n,n,"'conquest#n#1',","'adventure#n#1',",TRUE,conquest.adventure,15.06,16.416857
hunger,africa,n,n,"'hunger#n#1',","'africa#n#1',",TRUE,hunger.africa,18.83,22.247931
negotiation,agreement,n,n,"'negotiation#n#1',","'agreement#n#1',",TRUE,negotiation.agreement,11.7,11.868873
surface,top,n,other,"'surface#n#1',","'top#other#1',",FALSE,surface.top,NA,2.331763
bartender,alcohol,n,n,"'bartender#n#1',","'alcohol#n#1',",TRUE,bartender.alcohol,14.16,14.804945
swamp,alligator,n,n,"'swamp#n#1',","'alligator#n#1',",TRUE,swamp.alligator,20.92,22.462319
rescue,ambulance,n,n,"'rescue#n#1',","'ambulance#n#1',",TRUE,rescue.ambulance,19.31,21.752844
eagle,america,n,n,"'eagle#n#1',","'america#n#1',",TRUE,eagle.america,15.66,17.702562
price,amount,n,n,"'price#n#1',","'amount#n#1',",TRUE,price.amount,12.59,5.935317
harp,angel,n,n,"'harp#n#1',","'angel#n#1',",TRUE,harp.angel,21.33,21.518797
vent,anger,n,n,"'vent#n#1',","'anger#n#1',",TRUE,vent.anger,18.4,12.688262
jungle,animal,n,n,"'jungle#n#1',","'animal#n#1',",TRUE,jungle.animal,0,14.146072
wrist,ankle,n,n,"'wrist#n#1',","'ankle#n#1',",TRUE,wrist.ankle,1.4,1.426888
insect,ant,n,n,"'insect#n#1',","'ant#n#1',",TRUE,insect.ant,3,3.94098
frustration,anxiety,n,n,"'frustration#n#1',","'anxiety#n#1',",TRUE,frustration.anxiety,12.11,7.375066
chimpanzee,ape,n,n,"'chimpanzee#n#1',","'ape#n#1',",TRUE,chimpanzee.ape,0,1.648658
excuse,apology,n,n,"'excuse#n#1',","'apology#n#1',",TRUE,excuse.apology,12.46,0
sauce,apple,n,n,"'sauce#n#1',","'apple#n#1',",TRUE,sauce.apple,16.63,15.649452
fool,april,n,n,"'fool#n#1',","'april#n#1',",TRUE,fool.april,17.01,NA
neighborhood,area,n,n,"'neighborhood#n#1',","'area#n#1',",TRUE,neighborhood.area,2.1,2.28249
feud,argument,n,n,"'feud#n#1',","'argument#n#1',",TRUE,feud.argument,0,18.090707
hug,arms,n,n,"'hug#n#1',","'arms#n#1',",TRUE,hug.arms,0,21.059282
fort,army,n,n,"'fort#n#1',","'army#n#1',",TRUE,fort.army,17.94,19.89535
directions,arrow,n,n,"'directions#n#1',","'arrow#n#1',",TRUE,directions.arrow,NA,NA
impression,art,n,n,"'impression#n#1',","'art#n#1',",TRUE,impression.art,13.52,6.033401
dozen,twelve,n,other,"'dozen#n#1',","'twelve#other#1',",FALSE,dozen.twelve,NA,0
pair,two,n,other,"'pair#n#1',","'two#other#1',",FALSE,pair.two,NA,2.656988
wart,ugly,n,other,"'wart#n#1',","'ugly#other#1',",FALSE,wart.ugly,NA,NA
ashes,ashtray,n,n,"'ashes#n#1',","'ashtray#n#1',",TRUE,ashes.ashtray,NA,NA
orient,asia,n,n,"'orient#n#1',","'asia#n#1',",TRUE,orient.asia,20.31,0.176842
deputy,assistant,n,n,"'deputy#n#1',","'assistant#n#1',",TRUE,deputy.assistant,13.25,3.676592
carbon,atom,n,n,"'carbon#n#1',","'atom#n#1',",TRUE,carbon.atom,9.25,10.828136
snack,attack,n,n,"'snack#n#1',","'attack#n#1',",TRUE,snack.attack,18.18,19.063596
cellar,attic,n,n,"'cellar#n#1',","'attic#n#1',",TRUE,cellar.attic,3.73,5.974537
grace,aunt,n,n,"'grace#n#1',","'aunt#n#1',",TRUE,grace.aunt,20.76,21.682097
motor,auto,n,n,"'motor#n#1',","'auto#n#1',",TRUE,motor.auto,8.62,9.925164
medal,award,n,n,"'medal#n#1',","'award#n#1',",TRUE,medal.award,16.73,4.794415
chop,ax,n,n,"'chop#n#1',","'ax#n#1',",TRUE,chop.ax,0,0.495321
handbag,backpack,n,n,"'handbag#n#1',","'backpack#n#1',",TRUE,handbag.backpack,8.41,13.379
pork,bacon,n,n,"'pork#n#1',","'bacon#n#1',",TRUE,pork.bacon,4.7,10.410919
jazz,ballet,n,n,"'jazz#n#1',","'ballet#n#1',",TRUE,jazz.ballet,0,9.337591
mary,virgin,n,other,"'mary#n#1',","'virgin#other#1',",FALSE,mary.virgin,NA,16.813505
inflation,balloon,n,n,"'inflation#n#1',","'balloon#n#1',",TRUE,inflation.balloon,21.2,24.290711
trombone,band,n,n,"'trombone#n#1',","'band#n#1',",TRUE,trombone.band,0,16.542871
banker,bank,n,n,"'banker#n#1',","'bank#n#1',",TRUE,banker.bank,15.7,17.938507
restaurant,bar,n,n,"'restaurant#n#1',","'bar#n#1',",TRUE,restaurant.bar,9.19,11.336712
value,bargain,n,n,"'value#n#1',","'bargain#n#1',",TRUE,value.bargain,16.19,14.101986
data,base,n,n,"'data#n#1',","'base#n#1',",TRUE,data.base,17.81,16.3372
team,baseball,n,n,"'team#n#1',","'baseball#n#1',",TRUE,team.baseball,14.44,16.910745
waste,basket,n,n,"'waste#n#1',","'basket#n#1',",TRUE,waste.basket,15.99,17.394027
baseball,basketball,n,n,"'baseball#n#1',","'basketball#n#1',",TRUE,baseball.basketball,3.62,4.677181
blanket,warm,n,other,"'blanket#n#1',","'warm#other#1',",FALSE,blanket.warm,NA,20.745166
cello,bass,n,n,"'cello#n#1',","'bass#n#1',",TRUE,cello.bass,0,11.209631
swatter,bat,n,n,"'swatter#n#1',","'bat#n#1',",TRUE,swatter.bat,0,13.73834
suds,bath,n,n,"'suds#n#1',","'bath#n#1',",TRUE,suds.bath,19.98,16.547251
bedroom,bathroom,n,n,"'bedroom#n#1',","'bathroom#n#1',",TRUE,bedroom.bathroom,6.87,6.201743
support,beam,n,n,"'support#n#1',","'beam#n#1',",TRUE,support.beam,17.07,3.066685
shave,beard,n,n,"'shave#n#1',","'beard#n#1',",TRUE,shave.beard,20.24,20.035262
antelope,beast,n,n,"'antelope#n#1',","'beast#n#1',",TRUE,antelope.beast,5.23,5.914115
sofa,bed,n,n,"'sofa#n#1',","'bed#n#1',",TRUE,sofa.bed,4.31,5.514807
bathroom,bedroom,n,n,"'bathroom#n#1',","'bedroom#n#1',",TRUE,bathroom.bedroom,6.87,6.201743
wasp,bee,n,n,"'wasp#n#1',","'bee#n#1',",TRUE,wasp.bee,0,2.506624
champagne,beer,n,n,"'champagne#n#1',","'beer#n#1',",TRUE,champagne.beer,4.36,7.216205
amateur,beginner,n,n,"'amateur#n#1',","'beginner#n#1',",TRUE,amateur.beginner,14.03,14.930053
concept,belief,n,n,"'concept#n#1',","'belief#n#1',",TRUE,concept.belief,2.9,2.774395
freak,weird,n,other,"'freak#n#1',","'weird#other#1',",FALSE,freak.weird,NA,23.319808
thanks,welcome,n,other,"'thanks#n#1',","'welcome#other#1',",FALSE,thanks.welcome,NA,5.432126
ring,bell,n,n,"'ring#n#1',","'bell#n#1',",TRUE,ring.bell,19.66,8.104122
dent,bend,n,n,"'dent#n#1',","'bend#n#1',",TRUE,dent.bend,21.33,4.586251
ride,bicycle,n,n,"'ride#n#1',","'bicycle#n#1',",TRUE,ride.bicycle,19.98,2.999346
rack,bike,n,n,"'rack#n#1',","'bike#n#1',",TRUE,rack.bike,0,8.112537
bleach,white,n,other,"'bleach#n#1',","'white#other#1',",FALSE,bleach.white,NA,3.910359
half,whole,n,other,"'half#n#1',","'whole#other#1',",FALSE,half.whole,NA,11.118894
goat,billy,n,n,"'goat#n#1',","'billy#n#1',",TRUE,goat.billy,0,NA
fungi,biology,n,n,"'fungi#n#1',","'biology#n#1',",TRUE,fungi.biology,0,22.269731
scrap,bit,n,n,"'scrap#n#1',","'bit#n#1',",TRUE,scrap.bit,18.34,0
roommate,bitch,n,n,"'roommate#n#1',","'bitch#n#1',",TRUE,roommate.bitch,0,NA
scratch,bite,n,n,"'scratch#n#1',","'bite#n#1',",TRUE,scratch.bite,6.44,5.483178
pillow,blanket,n,n,"'pillow#n#1',","'blanket#n#1',",TRUE,pillow.blanket,13.02,16.641981
starch,bleach,n,n,"'starch#n#1',","'bleach#n#1',",TRUE,starch.bleach,0,19.668004
hound,blood,n,n,"'hound#n#1',","'blood#n#1',",TRUE,hound.blood,16.53,13.995801
nose,blow,n,n,"'nose#n#1',","'blow#n#1',",TRUE,nose.blow,16.36,14.206563
cork,board,n,n,"'cork#n#1',","'board#n#1',",TRUE,cork.board,18.24,14.704152
gravy,boat,n,n,"'gravy#n#1',","'boat#n#1',",TRUE,gravy.boat,0,20.314055
abdomen,body,n,n,"'abdomen#n#1',","'body#n#1',",TRUE,abdomen.body,14.29,10.106829
content,book,n,n,"'content#n#1',","'book#n#1',",TRUE,content.book,16.09,4.534798
cowboy,boots,n,n,"'cowboy#n#1',","'boots#n#1',",TRUE,cowboy.boots,NA,NA
bottle,booze,n,n,"'bottle#n#1',","'booze#n#1',",TRUE,bottle.booze,14.58,17.148247
captain,boss,n,n,"'captain#n#1',","'boss#n#1',",TRUE,captain.boss,14.76,9.468442
violin,bow,n,n,"'violin#n#1',","'bow#n#1',",TRUE,violin.bow,12.02,14.931836
square,box,n,n,"'square#n#1',","'box#n#1',",TRUE,square.box,16.57,1.520025
champion,boxer,n,n,"'champion#n#1',","'boxer#n#1',",TRUE,champion.boxer,16.26,12.84373
cuddle,boy,n,n,"'cuddle#n#1',","'boy#n#1',",TRUE,cuddle.boy,0,23.319808
adjustment,bra,n,n,"'adjustment#n#1',","'bra#n#1',",TRUE,adjustment.bra,0,23.072309
ankle,bracelet,n,n,"'ankle#n#1',","'bracelet#n#1',",TRUE,ankle.bracelet,0,24.125452
einstein,brain,n,n,"'einstein#n#1',","'brain#n#1',",TRUE,einstein.brain,0,11.735023
youth,young,n,other,"'youth#n#1',","'young#other#1',",FALSE,youth.young,NA,0
mine,yours,n,other,"'mine#n#1',","'yours#other#1',",FALSE,mine.yours,NA,NA
none,zero,n,other,"'none#n#1',","'zero#other#1',",FALSE,none.zero,NA,15.245762
perch,branch,n,n,"'perch#n#1',","'branch#n#1',",TRUE,perch.branch,20.35,17.485269
courage,bravery,n,n,"'courage#n#1',","'bravery#n#1',",TRUE,courage.bravery,0,0
flour,bread,n,n,"'flour#n#1',","'bread#n#1',",TRUE,flour.bread,5.23,12.003217
egg,breakfast,n,n,"'egg#n#1',","'breakfast#n#1',",TRUE,egg.breakfast,16.79,12.698574
upstairs,above,n,other,"'upstairs#n#1',","'above#other#1',",FALSE,upstairs.above,NA,NA
house,brick,n,n,"'house#n#1',","'brick#n#1',",TRUE,house.brick,11.19,13.591758
wedding,bride,n,n,"'wedding#n#1',","'bride#n#1',",TRUE,wedding.bride,21.05,20.150321
vegetables,broccoli,n,n,"'vegetables#n#1',","'broccoli#n#1',",TRUE,vegetables.broccoli,NA,NA
sibling,brother,n,n,"'sibling#n#1',","'brother#n#1',",TRUE,sibling.brother,9.82,9.071282
blues,brothers,n,n,"'blues#n#1',","'brothers#n#1',",TRUE,blues.brothers,NA,NA
broom,brush,n,n,"'broom#n#1',","'brush#n#1',",TRUE,broom.brush,19.25,4.39238
soap,bubble,n,n,"'soap#n#1',","'bubble#n#1',",TRUE,soap.bubble,16.63,19.545375
tub,bucket,n,n,"'tub#n#1',","'bucket#n#1',",TRUE,tub.bucket,5.26,7.49496
herd,buffalo,n,n,"'herd#n#1',","'buffalo#n#1',",TRUE,herd.buffalo,20.64,21.24992
rodent,bug,n,n,"'rodent#n#1',","'bug#n#1',",TRUE,rodent.bug,10.87,10.937449
creator,builder,n,n,"'creator#n#1',","'builder#n#1',",TRUE,creator.builder,15.19,4.434079
odds,against,n,other,"'odds#n#1',","'against#other#1',",FALSE,odds.against,NA,NA
plant,bush,n,n,"'plant#n#1',","'bush#n#1',",TRUE,plant.bush,12.86,1.106594
statistics,business,n,n,"'statistics#n#1',","'business#n#1',",TRUE,statistics.business,0,12.301333
disbelief,alive,n,other,"'disbelief#n#1',","'alive#other#1',",FALSE,disbelief.alive,NA,NA
popcorn,butter,n,n,"'popcorn#n#1',","'butter#n#1',",TRUE,popcorn.butter,0,11.908448
monarch,butterfly,n,n,"'monarch#n#1',","'butterfly#n#1',",TRUE,monarch.butterfly,15.76,4.050534
tradition,always,n,other,"'tradition#n#1',","'always#other#1',",FALSE,tradition.always,NA,NA
hail,cab,n,n,"'hail#n#1',","'cab#n#1',",TRUE,hail.cab,19.82,23.254732
spinach,cabbage,n,n,"'spinach#n#1',","'cabbage#n#1',",TRUE,spinach.cabbage,0,8.426304
revolution,american,n,other,"'revolution#n#1',","'american#other#1',",FALSE,revolution.american,NA,15.642109
log,cabin,n,n,"'log#n#1',","'cabin#n#1',",TRUE,log.cabin,18.75,17.923717
medicine,cabinet,n,n,"'medicine#n#1',","'cabinet#n#1',",TRUE,medicine.cabinet,19.84,17.396448
desert,cactus,n,n,"'desert#n#1',","'cactus#n#1',",TRUE,desert.cactus,0,21.367521
baker,cake,n,n,"'baker#n#1',","'cake#n#1',",TRUE,baker.cake,0,18.135984
media,camera,n,n,"'media#n#1',","'camera#n#1',",TRUE,media.camera,NA,22.195588
boot,camp,n,n,"'boot#n#1',","'camp#n#1',",TRUE,boot.camp,12.7,13.129218
lung,cancer,n,n,"'lung#n#1',","'cancer#n#1',",TRUE,lung.cancer,17.42,21.145673
birthday,candle,n,n,"'birthday#n#1',","'candle#n#1',",TRUE,birthday.candle,20.07,18.475751
spread,apart,n,other,"'spread#n#1',","'apart#other#1',",FALSE,spread.apart,NA,NA
cupboard,cans,n,n,"'cupboard#n#1',","'cans#n#1',",TRUE,cupboard.cans,NA,NA
competence,capability,n,n,"'competence#n#1',","'capability#n#1',",TRUE,competence.capability,2.86,5.072717
